João Silva,8.5,7.0,9.0,6.5,8.0,7.5,9.5,8.0,7.0,8.5
Maria Oliveira,7.5,8.0,6.5,7.0,8.5,9.0,7.0,8.0,6.5,7.5
Pedro Santos,9.0,8.5,7.5,8.0,9.5,8.0,7.0,8.5,9.0,8.5
Ana Costa,6.5,7.0,8.0,7.5,6.0,7.0,8.5,7.0,7.5,6.5
Lucas Pereira,8.0,7.5,9.0,8.5,7.0,8.0,9.5,8.0,8.5,9.0
Juliana Rocha,9.5,8.5,9.0,8.0,9.5,8.5,9.0,8.5,9.5,9.0
Rafael Lima,7.0,6.5,7.5,8.0,7.0,8.5,7.5,6.5,7.0,7.5
Camila Fernandes,8.0,9.0,8.5,9.5,8.0,9.0,8.5,9.0,8.0,9.5
Bruno Almeida,6.5,7.0,6.0,7.5,6.5,7.0,6.5,7.0,6.5,7.0
Fernanda Ribeiro,9.0,8.5,9.5,8.0,9.0,8.5,9.5,8.0,9.0,9.5
Mateus Carvalho,7.5,8.0,7.0,7.5,8.0,7.5,8.5,7.0,7.5,8.0
Patrícia Gomes,8.5,9.0,8.0,9.5,8.5,9.0,8.5,9.0,8.0,9.5
André Martins,6.0,6.5,7.0,6.5,7.0,7.5,7.0,6.5,7.0,6.0
Larissa Barros,9.0,8.5,9.0,9.5,8.5,9.0,9.5,8.5,9.0,9.5
Carlos Nogueira,8.0,7.5,8.5,8.0,8.5,7.5,8.0,7.5,8.0,8.5
Renata Teixeira,7.5,8.0,7.0,7.5,8.0,7.5,8.5,7.0,8.0,7.5
Diego Castro,6.5,7.0,6.0,7.5,6.5,7.0,6.5,7.0,6.5,7.0
Isabela Mendes,9.5,9.0,8.5,9.5,9.0,9.5,9.0,9.5,9.0,9.5
Felipe Araújo,8.5,7.5,8.0,8.5,7.5,8.0,8.5,7.5,8.0,8.5
Sofia Correia,7.0,7.5,8.0,7.5,8.0,7.5,7.0,7.5,8.0,7.5
Gustavo Freitas,9.0,8.5,9.5,9.0,9.5,9.0,8.5,9.5,9.0,9.5
Beatriz Cunha,6.5,7.0,6.5,7.0,6.5,7.0,6.5,7.0,6.5,7.0
Henrique Duarte,8.0,8.5,8.0,8.5,8.0,8.5,8.0,8.5,8.0,8.5
Carolina Batista,7.5,7.0,7.5,8.0,7.5,8.0,7.5,8.0,7.5,8.0
Thiago Moreira,9.5,9.0,9.5,9.0,9.5,9.0,9.5,9.0,9.5,9.0
Amanda Lopes,8.0,8.5,8.0,8.5,8.0,8.5,8.0,8.5,8.0,8.5
Eduardo Barbosa,7.0,6.5,7.0,6.5,7.0,6.5,7.0,6.5,7.0,6.5
Natália Moura,8.5,9.0,8.5,9.0,8.5,9.0,8.5,9.0,8.5,9.0
Rodrigo Farias,6.5,7.0,6.5,7.0,6.5,7.0,6.5,7.0,6.5,7.0
Luana Carvalho,9.0,9.5,9.0,9.5,9.0,9.5,9.0,9.5,9.0,9.5
